デッキ名,Tier
BLEACH(リムーブ一護),2.5
BLEACH(一護),4
Dr.STONE(ゲン),4
Dr.STONE(司帝国),4
NIKKE(ピルグリム_インヘルト),3
NIKKE(ピルグリム_パイオニア),4
SAO(プログレッシブ),2
SAO(プログレッシブ),2
SAO(歌),1
アンデラ(UNDER),3
アンデラ(ヴィクトール),2.5
キン肉マン(悪魔超人),2
キン肉マン(完璧超人),2
コードギアス(ルルーシュ),3
コードギアス(四聖剣),4
シャニマス(ALSTROEMERIA),3
シャニマス(アンティーカ),2
トリコ(トリコスタージュン),4
トリコ(美食會),4
ノワール(トキオ&ムートン),3
ノワール(黒仮面),3
ハガレン(お父様),2.5
ハガレン(人間),2.5
ハンターハンター(ゾルディック),3
ハンターハンター(幻影旅団),5
ヒロアカ(死柄木),3
ヒロアカ(死穢八斎會),2.5
ブラクロ(黒の暴牛),4
ブラクロ(漆黒),3
まどマギ(ピュエラ),3
まどマギ(ほむら),3
まどマギ(ほむら&まみ),3
鬼滅の刃(紫堕姫&妓夫太郎),5
鬼滅の刃(無惨),2
銀魂(高杉&神威),4
銀魂(白夜叉),2.5
呪術(京都校),2
呪術(真人),4
鉄拳(三島財閥),5
鉄拳(飛鳥＆リリ),5
転すら(ヒナタ),2
転すら(リムル),1.5
幽遊白書(戸愚呂兄弟),3
幽遊白書(陣酎鴉),3
